"Zoom will enable waiting rooms by default to stop Zoombombing - TechCrunchZoom is making some drastic changes",1
"Zoom will enable waiting rooms by default to stop Zoombombing - TechCrunchZoom is making some drastic changes to prevent rampant abuse as trolls attack publicly-shared video calls. Starting April 5th, it will require passwords to enter calls via Meeting ID, since these may be guessed or reused. Meanwhile, it will change virtual waiting rooms to be on by default so hosts ...",1
"Insight closes $9.5B fund to help support portfolio companies through the pandemic - TechCrunchWe're now several weeks into what has become a very big dip for the global economy due to the coronavirus pandemic, but amidst that, we are seeing are some notable pockets of investment activity emerging that will help shape how the future startup landscape will look. Today, one of the biggest ...",1
"The pandemic is already reshaping tech's misinformation crisis - TechCrunchSince 2016, social media companies have faced an endless barrage of bad press and public criticism for failing to anticipate how their platforms could be used for dark purposes at the scale of populations -- undermining democracies around the world, say, or sowing social division and even fueling ...",1
"Senator Asks FTC To Investigate Zoom's 'Deceptive' Security ClaimsA powerful Senate Democrat is asking the Federal Trade Commission to investigate Zoom for deceptive practices, adding to the growing chorus of concerns over the popular video chat software's privacy and security flaws. Several state attorneys general are also probing Zoom, after users, including ...",1
"In Russia, Health Services Struggle As Exasperation Grows Over Coronavirus Aid AbroadNearly a dozen Russian military planes filled with medical supplies landed in Serbia on Friday -- the latest in a series of controversial Kremlin humanitarian aid missions carried out amid the global spread of the coronavirus. ""Now we have everything to fight the virus,"" said Serbian Prime Minister ...",1
"Acclaimed comics artist Juan Gimenez dies at age 76Comic book artist Juan Giménez has passed away at the age of 79 after losing his battle with COVID-19. The artist has been hospitalized since March 22 and was later diagnosed with coronavirus. Giménez passed away in his hometown of Mendoz, Argentina where he was born in 1943. The passing was ...",1
"In Russia, Health Services Struggle As Exasperation Grows Over Coronavirus Aid AbroadNearly a dozen Russian military planes filled with medical supplies landed in Serbia on Friday -- the latest in a series of controversial Kremlin humanitarian aid missions carried out amid the global spread of the coronavirus. ""Now we have everything to fight the virus,"" said Serbian Prime Minister ...",1
"Coronavirus FAQs: Is A Homemade Mask Effective? And What's The Best Way To Wear One?Since the beginning of the global coronavirus pandemic, Americans have been told by the Centers for Disease Control and Prevention not to wear masks unless they are sick, caring for a sick person who is unable to wear one or working in health care. Numerous reasons have been given: That they don't ...",1
"China Enters The Next Phase of Its COVID-19 Outbreak: SuppressionThere are now so few coronavirus cases in China that some days authorities don't see any local transmission. China has gone from reporting thousands of cases a day in February to one or two a day now. Over the last week, officials with China's National Health Commission reported just 5 new domestic ...",1
"Dow tumbles 360 points after rough March jobs reportU.S. stock markets on Friday stumbled out of another volatile week filled with dismal unemployment numbers and relentless rise in coronavirus deaths. The one positive out of the week may have been that markets didn't perform even worse, thanks in part to a surge in oil prices. The Dow Jones ...",1
"UChicago students threaten tuition strike, want rate cut 50% during coronavirus pandemicStudents at the University of Chicago are threatening to withhold their spring quarter tuition unless the university agrees to negotiate with them on tuition rates and offer students a look at the university's budget. The group, UChicago for Fair Tuition, is demanding a 50% reduction in tuition and ...",1
"COLUMN: The other graph that shows B.C. can beat COVID-19 - Chilliwack ProgressIs the curve being flattened? data on hospitalizations provides a crucial answer. British Columbia's curve has been flattening. Things are working. And yet doubters remain. In times like this, what we need are - cue drumroll - more math and graphs, clearly. You know, by now about The Curve. It's ...",1
"COLUMN: The other graph that shows B.C. can beat COVID-19 - Abbotsford NewsIs the curve being flattened? data on hospitalizations provides a crucial answer. British Columbia's curve has been flattening. Things are working. And yet doubters remain. In times like this, what we need are - cue drumroll - more math and graphs, clearly. You know, by now about The Curve. It's ...",1
"In Russia, Health Services Struggle As Exasperation Grows Over Coronavirus Aid AbroadNearly a dozen Russian military planes filled with medical supplies landed in Serbia on Friday -- the latest in a series of controversial Kremlin humanitarian aid missions carried out amid the global spread of the coronavirus. ""Now we have everything to fight the virus,"" said Serbian Prime Minister ...",1
"CDC Now Recommends Americans Consider Wearing Cloth Face Coverings In PublicPresident Trump said Friday the Centers for Disease Control and Prevention now recommends that people wear cloth or fabric face coverings, which can be made at home, when entering public spaces such as grocery stores and public transit stations. It is mainly to prevent those people who have the ...",1
"MSU lab to retrofit hundreds of ventilators for UMMCSTARKVILLE, Miss. (WTVA) -- Students are converting hundreds of ventilators from battery powered to AC powered. The University of Mississippi Medical Center in Jackson asked the High Volatge Laboratory at Mississippi State University to retrofit about 300 ventilators, said Lab Manager David ...",1
"China Enters The Next Phase of Its COVID-19 Outbreak: SuppressionThere are now so few coronavirus cases in China that some days authorities don't see any local transmission. China has gone from reporting thousands of cases a day in February to one or two a day now. Over the last week, officials with China's National Health Commission reported just 5 new domestic ...",1
"JPMorgan sees surge in coronavirus cases after pressuring traders toSign up for our special edition newsletter to get a daily update on the coronavirus pandemic. JPMorgan pressured its traders to come into work despite a coronavirus outbreak on its Midtown trading floor, a new report alleges -- and now nearly two dozen traders are sick and another 65 are in ...",1
"Real estate agencies continue selling homes, change routinesSTARKVILLE, Miss. (WTVA) -- Real estate agents are still selling houses, but they have changed their routines during the coronavirus pandemic. Starkville Properties Co-owner and Principal Broker Melanie Mitchell said their agents are independent contractors, so it was an easy transition to work ...",1
"CDC Now Recommends Americans Consider Wearing Cloth Face Coverings In PublicPresident Trump said Friday the Centers for Disease Control and Prevention now recommends that people wear cloth or fabric face coverings, which can be made at home, when entering public spaces such as grocery stores and public transit stations. It is mainly to prevent those people who have the ...",1
"Senator Asks FTC To Investigate Zoom's 'Deceptive' Security ClaimsA powerful Senate Democrat is asking the Federal Trade Commission to investigate Zoom for deceptive practices, adding to the growing chorus of concerns over the popular video chat software's privacy and security flaws. Several state attorneys general are also probing Zoom, after users, including ...",1
